,isbn,title,author,pub_year,publisher,categories,description
773,0385491050,Surfacing,MARGARET ATWOOD,1998.0,Anchor,Fiction,"A woman searching for her missing father travels with her lover and another couple to a remote island in northern Quebec, where they encounter violence and death"
774,0671036505,The Vineyard,Barbara Delinsky,2001.0,Pocket Books,,
775,0553213504,The Count of Monte Cristo (Bantam Classics),ALEXANDRE DUMAS,1984.0,Bantam,Fiction,"Edmund Dantes, unjustly convicted of aiding the exiled Napoleon, escapes after fourteen years of imprisonment and seeks his revenge in Paris."
776,0446605891,With Heart,Dorothy Garlock,1999.0,Warner Vision,Fiction,"In Oklahoma, 1938, though scarcity and hardship have taken their toll on the spirit of the nation, one young woman still dares to dream. Kathleen Dolan has high hopes for investment in a newspaper, but then trouble strikes."
777,0394758285,The Big Sleep,Raymond Chandler,1992.0,Vintage Books USA,Fiction,"Philip Marlowe, a private eye who operates in Los Angeles's seamy underside during the 1930s, takes on his first case, which involves a paralyzed California millionaire, two psychotic daughters, blackmail, and murder"
778,0671004565,We'll Meet Again,Mary Higgins Clark,2000.0,Pocket,Fiction,"“The mistress of high tension” (The New Yorker) and undisputed Queen of Suspense Mary Higgins Clark brings us another New York Times bestselling novel that she “prepares so carefully and executes with such relish” (The New York Times Book Review) about the murder of a respected doctor—and his beautiful young wife charged with the crime. Dr. Gary Lasch, famous Greenwich, Connecticut doctor and founder of the HMO Remington Health Management, is found dead in his home, his skull crushed by a blow with a heavy bronze sculpture, and his wife, Molly, in bed covered with his blood. It was the Lasches’ housekeeper, Edna Barry, who made the grisly discovery the morning after Molly’s unexpectedly early return from Cape Cod, where she had gone to seclude herself upon learning of her husband’s infidelity. As the evidence against Molly grows, her lawyer plea-bargains a manslaughter charge to avoid a murder conviction. Released from prison nearly six years later, Molly reasserts her innocence to reporters, among them an old school friend, Fran Simmons, an investigative reporter and anchor for a true-crime show. Molly convinces Fran to research and produce a program on her husband’s death. As hidden aspects of Gary Lasch’s life and the affairs of Remington Health Management come to light, is Fran herself the next target for murder?"
779,0345370805,How to Make an American Quilt,Whitney Otto,1992.0,Ballantine Books,Fiction,"As members of a women's quilting group work their art, their stories of grief, passion, youth, and age are played out in a multigenerational, multi-layered narrative"
780,0375703055,Ellen Foster,Kaye Gibbons,1997.0,Vintage Books,,
781,0156006529,Where or When  : A Novel,Anita Shreve,1999.0,Harvest Books,Fiction,"When two lovers meet once again after thirty-one years of separation, they renew their attraction to each other and grapple with the issues of aging, erotic love, and betrayal. Reprint. 20,000 first printing."
782,0446673544,Sex &amp; the City,Candace Bushnell,1997.0,Warner Books,,
783,0140256369,Of Love and Other Demons (Penguin Great Books of the 20th Century),Gabriel Garcia Marquez,1996.0,Penguin Books,Fiction,"Bitten by a rabid dog in colonial South America, twelve-year-old Sierva Marâia is sent to a convent to endure torturous therapies and meets bookish Father Cayetano Delaura, with whom she shares a doomed affair."
784,0312243022,The Hours : A Novel,Michael Cunningham,2000.0,Picador,Fiction,Winter 2000
785,0316789844,Resistance : A Novel,Anita Shreve,1997.0,Back Bay Books,,
786,0679761837,A Natural History of Love,Diane Ackerman,1995.0,Vintage Books USA,Nature,"The author of the best-selling A Natural History of the Senses explores the diverse faces and forms of love from a scientific, psychological, and philosophical perspective. Reprint. 50,000 first printing."
787,0385490445,Alias Grace : A Novel,Margaret Atwood,1997.0,Anchor,Fiction,"Takes readers into the life and mind of Grace Marks, one of the most notorious women of the 1840s, who is serving a life sentence for murders she claims she cannot remember"
788,0380725398,Jamaica Inn,Daphne Du Maurier,1995.0,Avon,Fiction,"The coachman tried to warn her away from the ruined, forbidding place on the rainswept Cornish coast. But young Mary Yellan chose instead to honor her mother's dying request that she join her frightened Aunt Patience and huge, hulking Uncle Joss Merlyn at Jamaica Inn. From her first glimpse on that raw November eve, she could sense the inn's dark power. But never did Mary dream that she would become hopelessly ensnared in the vile, villainous schemes being hatched within its crumbling walls -- or that a handsome, mysterious stranger would so incite her passions ... tempting her to love a man whom she dares not trust."
789,0345316770,Almost Paradise,Susan Isaacs,1990.0,Ballantine Books,Fiction,"This story of Jane and Nicholas Cobleigh, takes a look at the comedy and heartbreak of twenty years of marriage"
790,0375700757,Cold Mountain : A Novel,CHARLES FRAZIER,1998.0,Vintage,Fiction,"Inman, an injured and disillusioned Confederate soldier, embarks on a harrowing journey home to his sweetheart, Ada, who herself is struggling to run the farm left her at her father's sudden death"
791,0070212570,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,1989.0,McGraw-Hill,Fiction,"Mrs. Threadgoode's tale of two high-spirited women of the 1930s, Idgie and Ruth, helps Evelyn, a 1980s woman in a sad slump of middle age, to begin to rejuvenate her own life"
792,0385480016,Bird by Bird: Some Instructions on Writing and Life,Anne Lamott,1995.0,Anchor,Language Arts &amp; Disciplines,"A step-by-step guide to writing and managing the writer's life covers each portion of a written project, addresses such concerns as writer's block and getting published, and offers awareness and survival tips. Reprint. Tour."
793,0061098361,Circle of Three: A Novel,Patricia Gaffney,2001.0,HarperTorch,Fiction,"“Gaffney’s characters are appealing and realistic…Readers will race through this book.” —New Orleans Times Picayune “Poignant….Entertaining….As good as it gets.” —New York Post No other author writes about the lives and friendships of women with more warmth and grace than New York Times bestseller Patricia Gaffney. A true master of women’s fiction, with Circle of Three she flourishes the same breathtaking characterization and storytelling skills that made her previous novel, The Saving Graces, a readers’ favorite. The story of a woman grieving for her losses and her life, and her relationship with her overbearing mother and precocious young daughter, Circle of Three focuses on three generations of a troubled family, the anger and misunderstanding that separates them…and the love that holds them together. Gaffney does beautifully what Elizabeth Berg, Anne Rivers Siddons, and Anne Tyler also do so well: exploring the tricky bonds of family in novels both heart-soaring and heartbreaking."
794,0061093092,Lily White,Susan Isaacs,1997.0,HarperTorch,Fiction,"While working on the case of a con man accused of murdering his latest mark, criminal defense attorney Lee White is devastated when her husband Jasper asks for a divorce, demanding custody of their daughter, to marry Lee's sister, Robin"
795,0451411013,The Grave Maurice (Richard Jury Novels),Martha Grimes,2003.0,Onyx Books,Fiction,"While flat on his back in a hospital bed, sleuth Richard Jury overhears a story that provokes his next murder investigation that is linked to a mysterious case of kidnapping involving the fifteen-year-old granddaughter of the owner of Ryder Stud Farm in Cambridgeshire. Reprint."
796,0446611239,The Cabinet of Curiosities,Douglas Preston,2003.0,Warner Books,,
797,0553580078,The Years of Rice and Salt,Kim Stanley Robinson,2003.0,Spectra Books,Fiction,"In an alternate history world in which the population of Europe is almost completely wiped out by the Black Death during the fourteenth century, three superpowers--China, India, and the nations of Islam--battle for supremacy in a World War destined to create a new world order. By the author of Red Mars. Reprint."
798,0425189414,Midnight Runner,Jack Higgins,2003.0,Berkley Publishing Group,Fiction,"Even though her brothers tried to assassinate the President of the United States, Kate Rashid is determined to make those responsible for killing her brothers pay with their lives and embarks on a mission of vengeance."
799,0451410912,A Killing Gift,Leslie Glass,2003.0,Onyx Books,Fiction,"When a retirement party for Lieutenant Bernardino, her former boss and mentor, results in murder, NYPD detective April Woo must cast aside her grief and find Bernardino's killer among her fellow police officers - an investigation that puts her life in grave danger. Original."
800,0316781266,The Last Time They Met : A Novel,Anita Shreve,2002.0,Back Bay Books,Fiction,"From the last time Linda and Thomas meet, at a charmless hotel in a distant city, to the moment, thirty-five years earlier, when a chance encounter on a rocky beach binds them fatefully together, this hypnotically compelling novel unfolds a tale of intense passion, drama, and suspense. The Last Time They Met is a singularly ambitious and accomplished work by one of today's most widely celebrated novelists."
801,0486280616,Adventures of Huckleberry Finn (Dover Thrift Editions),Mark Twain,1994.0,Dover Publications,,
802,0671032658,The Green Mile,Stephen King,1999.0,Pocket,Fiction,"Originally published as a six-part serial novel, this chilling novel introduces the inmates of Cold Mountain Penitentiary, convicted killers all awaiting a date with the electric chair, including the enigmatic John Coffey. Reprint."
803,0451402103,"Bitter Blood: A True Story of Southern Family Pride, Madness, and Multiple Murder",Jerry Bledsoe,1997.0,Onyx Books,True Crime,"Chronicles two multiple murders, one in Kentucky, one in North Carolina, whose investigations became linked to one person, Susie Sharp Newsom Lynch."
804,0373250223,Name &amp; Address Withheld (Red Dress Ink (Paperback)),Jane Sigaloff,2002.0,Red Dress Ink,Fiction,"Urban sexpert Lizzie Ford's magazine column and radio show are bombarded with romantic casualties on a daily basis. What a relief that, after years of dating, Lizzie herself has finally leapt off the shelf and into the arms of advertising genius Matt Baker. Little does Lizzie know that a seemingly innocent note will catapult her into a scorching scandal."
805,0380817683,Rachel's Holiday,Marian Keyes,2001.0,Avon Books,,
806,0671689231,Little Girl Lost,Drew Barrymore,1991.0,Pocket,,
807,0380814021,The Princess Diaries,Meg Cabot,2001.0,HarperTrophy,Juvenile Fiction,"Fourteen-year-old Mia, who is trying to lead a normal life as a teenage girl in New York City, is shocked to learn that her father is the Prince of Genovia, a small European principality, and that she is a princess and the heir to the throne. Reprint."
808,0373711026,North Country Man,Carrie Alexander,2002.0,Harlequin,Fiction,
809,0373710992,The Farmer's Wife,Lori Handeland,2002.0,Harlequin,Fiction,"Kim Luchetti couldn't get away fst enough from the Illinois farm she grew up on-and from boyfriend Brian Riley. Now she's back.Her father is ailing, and so is Brian -after his first sight Kim causes him to tumble off a barn roof and break his wrists!"
810,0061098795,The Wailing Wind,Tony Hillerman,2003.0,HarperTorch,Fiction,"Officer Bernadette Manuelito found the dead man slumped over in the cab of a blue pickup abandoned in a dry gulch off a dirt road—with a rich ex-con's phone number in his pocket ... and a tobacco tin nearly filled with tracer gold. It's her initial mishandling of the scene that spell trouble for her supervisor, Sgt. Jim Chee of the Navajo Tribal Police—but it's the echoes of a long ago crime that call the legendary former Lieutenant Joe Leaphorn out of retirement. Years earlier, Leaphorn followed the trail of a beautiful, young, and missing wife to a dead end, and his failure has haunted him ever since. But ghosts never sleep in these high, lonely Southwestern hills. And the twisted threads of craven murders past and current may finally be coming together, thanks to secrets once moaned in torment on the desert wind."
811,0375725784,A Heartbreaking Work of Staggering Genius,Dave Eggers,2001.0,Vintage Books USA,India,"A memoir of a college senior who, in the space of five weeks, loses both of his parents to cancer and inherits his eight-year-old brother. Here is an exhilarating debut that manages to be simultaneously hilarious and wildly inventive as well as a deeply hearfelt story of the love that holds a family together."
812,225313922X,Les Thanatonautes,Bernard Werber,1996.0,LGF,Fiction,"L'homme a tout exploré : le monde de l'espace, le monde sous-marin, le monde souterrain ; pourtant il lui manque la connaissance d'un monde : le continent des morts. Voilà la prochaine frontière. Michael Pinson et son ami Raoul Razorbak, deux jeunes chercheurs sans complexes, veulent relever ce défi et, utilisant les techniques de médecine mais aussi d'astronautique les plus modernes, partent à la découverte du paradis. Leur dénomination ? Les thanatonautes. Du grec Thanatos (divinité de la mort) et nautès (navigateur). Leur guide ? Le livre des morts tibétains, le livre des morts égyptiens mais aussi les grandes mythologies et les textes sacrés de pratiquement toutes les religions qui semblent depuis toujours avoir su ce qu'étaient le dernier voyage et le "" véritable "" paradis. Peu à peu les thanatonautes dressent la carte géographique de ce monde inconnu et en découvrent les décors immenses et mirifiques ; Le mot terra incognita recule en même temps que, jour après jour, on apprend ce qui nous arrive après avoir lâché notre dernier soupir."
813,0142004030,Lost in a Good Book (Thursday Next Novels (Penguin Books)),Jasper Fforde,2004.0,Penguin Books,Fiction,"In order to rescue the love of her life from the corrupt multinational Goliath, Thursday seeks out a believed-vanquished enemy from the pages of The Raven and finds unexpected assistance from Great Expectation's Miss Havisham. Reader's Guide available. Reprint. 150,000 first printing."
814,0452281784,Bad Heir Day,Wendy Holden,2001.0,Plume Books,Fiction,"When her gorgeous and wealthy boyfriend asks her to move out, aspiring novelist Anna takes a job as a nanny for a family she considers horrible, and meets Jamie, a handsome heir to a Scottish castle who might be too good to be true."
815,0375704558,Charlotte Gray,Sebastian Faulks,2000.0,Vintage Books USA,Fiction,"A young Scottish woman who falls in love with a World War II RAF pilot shortly before his plane is lost over France joins the Resistance movement to find him, only to discover a larger meaning in her new role."
816,038533656X,Apocalipstick,SUE MARGOLIS,2003.0,Delta,Fiction,"Feisy, aspiring journalist Rebecca Fine struggles to make ends meet by writing a beauty column, while dealing with a Jewish dating service, her widowed father's engagement to an unpleasant classmate, and a sexy new coworker, until she discovers that the hot new anti-wrinkle cream is made of truth serum. Original."
817,0743230213,Harem: A Novel,Dora Levy Mossanen,2002.0,Touchstone,Fiction,"A seductive and intriguing journey from the humble Persian Jewish quarter to the fascinating world of shahs, soothsayers, eunuchs, and sultanas, Harem follows three generations of strong-willed and cunning women: Rebekah -- a poor girl married to the abusive blacksmith, Jacob the fatherless -- who emerges from her disastrous match with a mysterious brand between her breasts; Gold Dust, Rebekah's treasured daughter, who enters the opulent and perilous world of the harem and captivates the shah with her singing bones; and Gold Dust's daughter, the revered and feared albino princess Raven, who will one day rule the empire. Rich in visual imagery, Harem vividly depicts the exotic bazaars and dangerous alleys of the city and palace chambers brimming with conspiracy and betrayal -- as well as love and redemption. A skillfully crafted, intricately textured novel, Harem represents the beginning of a remarkable literary career."
818,0345436911,The Dress Lodger (Ballantine Reader's Circle),Sheri Holman,2001.0,Ballantine Books,Fiction,"In a novel set in London during the Industrial Revolution, a prostitute borrows a blue dress to attract a higher class of client and is shadowed through the streets by an evil old woman hired by the dress' owner to keep an eye on her."
819,0452284481,Le Divorce (William Abrahams Book),Diane Johnson,2003.0,Plume Books,Fiction,"Pregnant and abandoned, Roxeanne Walker de Persand has her rough-edged sister, Isabel, come to Paris to help her through this period where the powerful Persand family is pushing for a divorce and control of a valuable Walker family heirloom."
820,0802135196,Valley of the Dolls: A Novel,Jacqueline Susann,1997.0,Grove Press,Fiction,"Three women seek escape as they learn about the bitterness, corruption, and falsehoods of the show-business world"
821,0440217520,Tunnel Vision (V.I. Warshawski Novels (Paperback)),Sara Paretsky,1995.0,Dell,Fiction,"Protesting plans to tear down her apartment building by refusing to move out, private eye V. I. Warshawski discovers a homeless family in that basement that mysteriously disappears just before Warshawski is implicated in a murder. Reprint."
822,0373834985,Comfortable Wife,Stephanie Laurens,2002.0,Harlequin,Fiction,"Antonio Mannering was certain that, if she proved to Lord Philip Ruthven that she was capable of running his home and would not disgrace him in society, he would propose a comfortable arrangement. But she never expected their hearts would find their way into the bargain."
823,0679450548,I Was Amelia Earhart,Jane Mendelsohn,1996.0,Random House Inc,Fiction,"In an imaginative novel about a real-life mystery, Amelia Earhart describes what happened after she and her navigator disappeared off the coast of New Guinea in 1937 and discusses her love of flying, memories of her past, and her life with G. P. Putnam. A first novel."
824,0345339703,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J.R.R. TOLKIEN,1986.0,Del Rey,Fantasy,
825,038039586X,Watership Down,Richard George Adams,1975.0,Harpercollins,,
826,0670030643,The Eyre Affair (Alex Awards (Awards)),Jasper Fforde,2002.0,Viking Books,Fiction,"In a world where one can literally get lost in literature, Thursday Next, a Special Operative in literary detection, tries to stop the world's Third Most Wanted criminal from kidnapping characters, including Jane Eyre, from works of literature."
827,0060929596,As Nature Made Him : The Boy Who Was Raised as a Girl,John Colapinto,2001.0,Perennial,Medical,Tells the story of a man whose botched circumcision as a baby and subsequent surgical alteration to a female was mistakenly used as an argument for the success of such procedures.
828,3499232871,Herzsprung,Ildiko Kurthy,2003.0,Distribooks Inc,Fiction,
829,0440131480,Breakfast of Champions,Kurt Vonnegut,1991.0,Dell Publishing Company,,
830,0609600745,The Art of Doing Nothing: Simple Ways to Make Time for Yourself,Veronique Vienne,1998.0,Clarkson N Potter Publishers,Self-Help,"Suggests a variety of stress-reducing techniques, including breath control, meditation, reflexology, napping, hydrotherapy, aromatherapy, and silence"
831,0375707425,Embers,SANDOR MARAI,2002.0,Vintage,Fiction,"Following a forty-one year separation, two men reunite in a castle at the foot of the Carpathian Mountains to share stories and accusations touching on their lives and that of a third person, the now-dead lady of the castle."
832,0590447319,In My Father's House (Point),Ann Rinaldi,1996.0,Scholastic,Juvenile Fiction,"For two sisters growing up surrounded by the Civil War, there is conflict both outside and inside their house."
833,0440940001,Island of the Blue Dolphins (Laurel Leaf Books),Scott O'Dell,1978.0,Laure Leaf,Juvenile Fiction,A young Indian girl learns the art of survival when she is stranded on an isolated Pacific island.
834,0812565959,Shadow of the Hegemon (Ender Wiggins Saga (Paperback)),Orson Scott Card,2001.0,Tor Books,Fiction,"The War is over, won by Ender Wiggin and his team of brilliant child-warriors. The enemy is destroyed, the human race is saved. Ender himself refuses to return to the planet, but his crew has gone home to their families, scattered across the globe. The battle school is no more. But with the external threat gone, the Earth has become a battlefield once more. The children of the Battle School are more than heroes; they are potential weapons that can bring power to the countries that control them. One by one, all of Ender's Dragon Army are kidnapped. Only Bean escapes; and he turns for help to Ender's brother Peter. Peter Wiggin, Ender's older brother, has already been manipulating the politics of Earth from behind the scenes. With Bean's help, he will eventually rule the world. Shadow of the Hegemon is the second novel in Orson Scott Card's Shadow Series."
835,0880387483,"Tantras (Forgotten Realms:  Avatar Trilogy, Book 2)",Richard Awlinson,1989.0,Wizards of the Coast,Fiction,"Falsely convicted of the murder of Elminster, a group of adventurers escapes the dungeons of Shadowdale, arriving in Tantras and finding themselves in the midst of a struggle between two deities"
836,0880387300,"Shadowdale (Forgotten Realms:  Avatar Trilogy, Book One)",Scott Ciencin,1989.0,Wizards of the Coast,Fiction,"Seeking to escape their pasts, three adventurers join forces with Midnight, a powerful magic-user with extraordinary abilities--and a penchant for finding trouble"
837,0425163385,The Night Crew,John Sandford,2004.0,Berkley Publishing Group,Fiction,"Roaming the night streets of Los Angeles in search of news items for their cameras, Anna Batory and her crew of video freelancers are shattered by the death of a suicidal jumper and the murder of one of their team members, a crime that exposes dangerous secrets from the past. Reissue."
838,0743444051,CSI: Sin City,Max Allan Collins,2002.0,Pocket,,
839,0671042262,The Blue Nowhere : A Novel,Jeffery Deaver,2002.0,Pocket,,
840,0425157539,Sudden Prey,John Sandford,1997.0,Berkley Publishing Group,Minneapolis (Minn.),"This streamlined thriller is a rematch for Minneapolis homicide cop Lucas Davenport and the insane killer he caught in Sandford's earlier slasher novel, Eyes of Prey. After psychotic pathologist Dr. Mike Bekker escapes from a New York courthouse and begins a killing spree, NYPD Lt. Lily Rothenberg asks Davenport, her former lover, to come to Manhattan and help the investigation. Despite Bekker's ruined face (courtesy of an enraged Davenport), the killer eludes capture and the bodies keep piling up, each with the eyelids cut off so that Bekker could photograph his victims as they died."
841,0553585681,Always a Thief,Kay Hooper,2003.0,Bantam Books,Fiction,"Uneasy about the forthcoming exhibition of the priceless Bannister collection, show director Morgan West finds herself forced into an uneasy alliance with master cat burglar Quinn, who enlists her assistance to catch an elusive and deadly criminal adversary. Original."
842,0553585118,Once a Thief,Kay Hooper,2002.0,Bantam Books,Fiction,"While preparing for the showing of the Bannister collection, exhibit director Morgan West has a late-night run-in with international cat burgler Quinn, and also experiences strong premonitions of danger as the display opening draws closer."
843,0886777690,A Thousand Words for Stranger (Daw Book Collectors),Julie E. Czerneda,1997.0,Daw Books,Fiction,"Alone on the planet of Auord with no memory of who she is, Sira is forced to accept the protection of the enigmatic Captain Morgan long enough to regain her telepathic powers and rescue her own beleaguered race. Original."
844,0743212002,Deck the Halls,Mary Higgins Clark,2000.0,Simon &amp; Schuster,Fiction,"When Regan Reilly's father is kidnapped three days before Christmas, she investigates the disappearance with the help of her parents' neighbors, Willy and Alvirah Meehan."
845,3426650754,"Der Mann, der's wert ist.",Eva Heller,1994.0,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp; Co.",,
846,0373152655,Christmas Miracles,Betty Neels,1997.0,Harlequin,,
847,037348397X,The Donovan Legacy,Nora Roberts,1999.0,Harlequin,Fiction,"Three extraordinary cousins--Morgana, Sebastian, and Anastasia--who have inherited some most unusual magical talents from their Celtic ancestors--find true love, in a trio of novels--Captivated, Entranced, and Charmed. Reprint."
848,0380773155,"It Happened to Nancy : By an Anonymous Teenager, A True Story from Her Diary (Confident Collector)",Beatrice Sparks,1994.0,Avon,Juvenile Fiction,The editor of the classic GO ASK ALICE has compiled the poignant journals of a 14-year-old date-rape victim who contracted AIDS and died.
849,3404100263,Die Nadel,Ken Follett,1980.0,Gustav Lubbe Verlag GmbH,Fiction,"April 1944. Die Invasion steht unmittelbar bevor. Um den Deutschen eine Landung bei Calais zu suggerieren, haben die Briten mit Gummipanzern, Pappflugzeugen und potemkinschen Kasernen das größte Täuschungsmanöver aller Zeiten in Südostengland inszeniert. Diese Geisterarmee ist so geschickt in das Funk- und Meldesystem der alliierten Streitkräfte eingewoben, dass selbst Canaris+ Abwehrapparat sie für echt hält. Denn was Canaris nicht weiß: Seine Spione in England sitzen hinter Gittern und funken nur Spielmaterial - bis auf einen: Henry Faber, genannt »die Nadel«. Lange vor dem Krieg nach England eingeschleust, hat er es verstanden, unentdeckt zu bleiben. Und ihm gelingt das Unmögliche: Er kommt den Engländern auf die Schliche und enttarnt das Unternehmen »Fortitude«. Aber das Schwierigste steht ihm noch bevor: Er muss sein Beweismaterial in die Hände des deutschen Generalstabs bringen. Sein Fluchtweg quer durch Großbritannien wird zur blutigen Spur ..."
850,0679731148,A Year in Provence,Peter Mayle,1991.0,Vintage Books USA,Provence (France),"A month-by-month account of the author's experience in the first year of restoring a two-centuries old stone farmhouse in back country Provence, France."
851,0786889373,The Big Picture,Douglas Kennedy,1998.0,Warner Books (Mm),Fiction,"Ben Bradford is a partner in a powerful Manhattan law firm with a beautiful wife in the affluent Connecticut suburbs. But beneath the exterior, Ben is unfulfilled in his career and only finds solace in his darkroom with his dreams of being a photographer. With the ironic discovery that his wife is having an affair with a neighbor who is a photographer, Ben goes over the edge in his attempt to put things right, and changes his life forever. It's an unbelievable change--unless you see the big picture."
852,2070364283,La Perle,John Steinbeck,1973.0,Gallimard,Fiction,"Jouant de sa lame comme d'un levier, il le fit céder et le coquillage s'ouvrit. Les lèvres de chair se crispèrent puis se détendirent. Kino souleva le repli et la perle était là, la grosse perle, parfaite comme une lune. Elle accrochait la lumière, la purifiait et la renvoyait dans une incandescence argentée. Elle était aussi grosse q'un œuf de mouette. C'était la plus grosse perle du monde."
853,2070415686,"Le Guide galactique, tome 1",Jean Bonnefoy,2000.0,Gallimard,,
854,2070360423,LA Peste (Folio Series: No. 42),Albert Camus,1985.0,Distribooks,,
855,2253004898,Guerre De Troie N'Aura Pas Lieu,Jean Giraudoux,2001.0,Distribooks Inc,,
856,0380600129,The Indian in the Cupboard,Lynne Reid Banks,1999.0,HarperTrophy,Juvenile Fiction,"When Omri's plastic Indian, put in an unusual cupboard overnight, comes to life, Omri has a new friend who can teach him about another culture and another time."
857,082176828X,What You Wish for,Fern Michaels,2001.0,Zebra Books,Fiction,"Fleeing the abusive wealthy husband who tried to kill her, Helen Ward changes her identity and moves across the country to build a new life for herself, but her past may come back to haunt her as it threatens her relationship with Sam Tolliver."
858,0316693324,When the Wind Blows,James Patterson,1998.0,Replica Books,Fiction,"While grieving her husband's murder, a young Colorado veterinarian meets a troubled FBI agent and begins to uncover the world's most sinister secrets. Frannie O'Neill is a young and talented veterinarian living in Colorado. Plagued by the mysterious murder of her husband, David, a local doctor, Frannie throws herself into her work. It is not long before another bizarre murder occurs and Kit Harrison, a troubled and unconventional FBI agent, arrives on her doorstep. Late one night, near the woods of her animal hospital, Frannie stumbles upon a strange, astonishing phenomenon that will change the course of her life forever: her name is Max. With breathtaking energy, eleven-year-old Max leads Frannie and Kit to uncover one of the most diabolical and inhuman plots of modern science. Bold and compelling, When the Wind Blows is a story of suspense and passion as only James Patterson could tell it."
859,0553283685,Hyperion,DAN SIMMONS,1990.0,Bantam,Fiction,"A pilgrimage to the realm of the Shrike, a part-god/part-killing machine, provides the travellers the forum to tell their incredible stories"
860,0590629824,The Capture (Animorphs (Paperback Numbered)),Katherine Applegate,1997.0,Scholastic,Juvenile Fiction,"Attempting to get more information about the Yeerks, Jake is suddenly taken over by one of the parasitic aliens and becomes one of them, and the Animorphs launch a rescue mission."
861,0743412273,Pet Sematary,Stephen King,2001.0,Pocket,,
862,0345367898,Witching Hour (Lives of the Mayfair Witches),Anne Rice,1991.0,Ballantine Books,,
863,0553110721,"House Harkonnen (Dune: House Trilogy, Book 2)",Brian Herbert,2000.0,Bantam Books,,
864,0553580272,"House Atreides (Dune: House Trilogy, Book 1)",Brian Herbert,2000.0,Spectra Books,,
865,0679452281,Asylum,Patrick McGrath,1997.0,Random House Inc,,
866,0393029190,And the Sea Will Tell,Vincent Bugliosi,1991.0,W W Norton &amp; Co Inc,,
867,0449912558,The Sparrow,MARY DORIA RUSSELL,1997.0,Fawcett Books,,
868,0449300021,Les Miserables,VICTOR HUGO,1982.0,Fawcett,,
869,0684835983,Before I Say Good-Bye : A Novel,Mary Higgins Clark,2000.0,Simon &amp; Schuster,,
870,0440226430,Summer Sisters,Judy Blume,1999.0,Dell Publishing Company,,
871,0385721358,Look at Me,Jennifer Egan,2002.0,Anchor Books/Doubleday,,
872,031231616X,I Capture the Castle,Dodie Smith,2003.0,St. Martin's Griffin,,
873,089480829X,What to Expect When You're Expecting (Revised Edition),Arlene Eisenberg,1996.0,Workman Pub Co,,
874,0767912233,Babyville,JANE GREEN,2003.0,Broadway,,
875,0894805770,What to Expect the First Year,Arlene Eisenberg,1989.0,Workman Publishing,,
876,0440177499,Snow Queen,Joan D. Vinge,1984.0,Bantam Doubleday Dell,,
877,0062502174,The Alchemist: A Fable About Following Your Dream,Paulo Coelho,1993.0,HarperSanFrancisco,,
878,0688177751,Miss Julia Speaks Her Mind : A Novel,Ann B. Ross,2000.0,Perennial,,
879,0345438329,Big Stone Gap: A Novel (Ballantine Reader's Circle),Adriana Trigiani,2001.0,Ballantine Books,,
880,0345401123,Your Blues Ain't Like Mine,BEBE MOORE CAMPBELL,1995.0,Ballantine Books,,
881,1551669501,Diamond Spur,Diana Palmer,2002.0,Mira,,
882,0375707972,The Reader,Bernhard Schlink,1999.0,Vintage Books USA,,
883,0618126988,The Silmarillion,J.R.R. Tolkien,2001.0,Houghton Mifflin,,
884,0060094850,The Torn Skirt,Rebecca Godfrey,2002.0,Perennial,,
885,0142000361,The Florabama Ladies' Auxiliary &amp; Sewing Circle,Lois Battle,2002.0,Penguin Books,,
886,0872860175,Howl and Other Poems (Pocket Poets),Allen Ginsberg,1956.0,City Lights Publishers,,
887,0020518609,Short Stories of Ernest Hemingway (A Scribner classic),Ernest Hemingway,1987.0,Simon &amp; Schuster,,
888,0345446860,Back When We Were Grownups : A Novel (Ballantine Reader's Circle),ANNE TYLER,2002.0,Ballantine Books,,
889,0446310492,To Kill a Mockingbird,Harper Lee,1985.0,Warner Books,,
890,0515090506,The Cat Who Played Brahms,Lilian Jackson Braun,1997.0,Jove Books,,
891,0399145087,Black Notice,Patricia Daniels Cornwell,1999.0,Putnam Pub Group,,
892,0812590244,Irish Eyes: A Nuala Anne McGrail Novel (Nuala Anne McGrail Novels (Paperback)),Andrew M. Greeley,2001.0,Forge,,
893,0060192119,As Nature Made Him: The Boy Who Was Raised As a Girl,John Colapinto,2000.0,HarperCollins Publishers,,
894,0836218256,Something Under the Bed Is Drooling,Bill Watterson,1988.0,Andrews McMeel Publishing,,
895,0140140352,Haroun and the Sea of Stories,Salman Rushdie,1991.0,Penguin Putnam~trade,,
896,0312990456,One for the Money (A Stephanie Plum Novel),Janet Evanovich,2003.0,St. Martin's Paperbacks,,
897,0316969680,The Beach House,James Patterson,2002.0,"Little, Brown",,
898,881787017X,Senza Sangue,Alessandro Baricco,2002.0,Rizzoli Publications,,
899,0449207463,Superior Women,Alice Adams,1993.0,Fawcett Books,,
900,3518368540,Homo Faber,Max Frisch,,Distribooks Int'l+inc,,
901,0141180633,Vineland,Thomas Pynchon,1997.0,Penguin Books,,
902,0786887842,Rabbit-Proof Fence : The True Story of One of the Greatest Escapes of  All Time,Doris Pilkington,2002.0,Miramax,,
